"parameter_id","control","variable","variable_type","typical_unit"
"REG-32","Regulation","Transition-policy and environmental compliance cost","Shock","Currency / %"
"MER-01","Merchants","Active merchant population","State","Count"
"MER-02","Merchants","Merchant additions and attrition","Behaviour","Count / % per period"
"MER-03","Merchants","Transaction volume by merchant","State / behaviour","Count per period"
"MER-04","Merchants","Transaction value by merchant","State / behaviour","Currency per period"
"MER-05","Merchants","Average ticket size","Behaviour","Currency"
"MER-06","Merchants","Volume growth or contraction","Shock","%"
"MER-07","Merchants","Seasonal and event-driven volume multiplier","Behaviour","Multiple"
"MER-08","Merchants","Merchant sector or industry mix","State","% by sector"
"MER-09","Merchants","Merchant country and corridor mix","State","% by geography"
"MER-10","Merchants","Revenue contribution by merchant","State","Currency / %"
"MER-11","Merchants","Top-merchant concentration","State / shock","% / HHI"
"MER-12","Merchants","Sector concentration","State / shock","% / HHI"
"MER-13","Merchants","Geographic concentration","State / shock","% / HHI"
"MER-14","Merchants","Merchant credit score","State / shock","Score"
"MER-15","Merchants","Probability of merchant default","Shock","%"
"MER-16","Merchants","Loss given merchant default","Behaviour","%"
"MER-17","Merchants","Merchant financial-health deterioration","Shock","Score / %"
"MER-18","Merchants","Merchant fraud rate","Shock","% / basis points"
"MER-19","Merchants","Chargeback rate","Shock","% / basis points"
"MER-20","Merchants","Refund rate","Shock","%"
"MER-21","Merchants","Dispute rate and resolution time","Behaviour","% / days"
"MER-22","Merchants","Merchant reserve or holdback rate","State / intervention","%"
"MER-23","Merchants","Settlement delay by merchant tier","State / intervention","Days"
"MER-24","Merchants","Payout acceleration","Intervention","Hours / days"
"MER-25","Merchants","Exposure limit by merchant","Intervention","Currency"
"MER-26","Merchants","Collateral or guarantee coverage","State / intervention","Currency / %"
"MER-27","Merchants","Merchant onboarding rate","Behaviour / intervention","Count per period"
"MER-28","Merchants","KYC and underwriting acceptance threshold","Intervention","Score"
"MER-29","Merchants","Merchant monitoring sensitivity","Intervention","Threshold / score"
"MER-30","Merchants","Merchant suspension or offboarding threshold","Intervention","Score / binary"
"MER-31","Merchants","Merchant network contagion rate","Behaviour","%"
"MER-32","Merchants","Common-acquirer, gateway or bank dependency","State","% / count"
"MER-33","Merchants","Merchant operating interruption duration","Shock","Hours / days"
"MER-34","Merchants","Merchant recovery rate","Behaviour","% per period"
"MER-35","Merchants","Merchant fee and margin rate","State / intervention","% / basis points"
"MER-36","Merchants","Merchant support and remediation capacity","Intervention","Cases / currency per day"
"COR-01","Countries & Corridors","Origin country","State","ISO country code"
"COR-02","Countries & Corridors","Destination country","State","ISO country code"
"COR-03","Countries & Corridors","Corridor direction","State","Direction"
"COR-04","Countries & Corridors","Origin and destination currency","State","ISO currency code"
"COR-05","Countries & Corridors","Transaction volume by corridor","State / behaviour","Count per period"
"COR-06","Countries & Corridors","Transaction value by corridor","State / behaviour","Currency per period"
"COR-07","Countries & Corridors","Corridor growth or contraction","Shock","%"
"COR-08","Countries & Corridors","Corridor concentration","State / shock","% / HHI"
"COR-09","Countries & Corridors","Country exposure limit","Intervention","Currency / %"
"COR-10","Countries & Corridors","Corridor exposure limit","Intervention","Currency / %"
"COR-11","Countries & Corridors","Sovereign credit risk","Shock","Rating / spread"
"COR-12","Countries & Corridors","Political-stability risk","Shock","Index"
"COR-13","Countries & Corridors","War, conflict or civil-unrest severity","Shock","Index / duration"
"COR-14","Countries & Corridors","Government-change or policy-reversal probability","Shock","%"
"COR-15","Countries & Corridors","Expropriation or nationalisation risk","Shock","% / severity"
"COR-16","Countries & Corridors","Sanctions and embargo severity","Shock","Index / binary"
"COR-17","Countries & Corridors","Trade restriction and tariff severity","Shock","% / index"
"COR-18","Countries & Corridors","Capital-control severity","Shock","Index / % trapped"
"COR-19","Countries & Corridors","Currency convertibility","Shock","% / binary"
"COR-20","Countries & Corridors","FX spot-rate movement","Shock","%"
"COR-21","Countries & Corridors","FX volatility","Shock","% annualised / period"
"COR-22","Countries & Corridors","FX spread and hedging cost","Shock","Basis points"
"COR-23","Countries & Corridors","Hedge coverage and effectiveness","State / intervention","%"
"COR-24","Countries & Corridors","Inflation rate","Shock","%"
"COR-25","Countries & Corridors","Interest-rate movement","Shock","Basis points"
"COR-26","Countries & Corridors","Correspondent-bank availability","Shock","% / count"
"COR-27","Countries & Corridors","Payment-rail availability","Shock","%"
"COR-28","Countries & Corridors","Gateway and intermediary availability","Shock","%"
"COR-29","Countries & Corridors","Number of routing alternatives","State / intervention","Count"
"COR-30","Countries & Corridors","Route-switching capacity and delay","Intervention","% / hours"
"COR-31","Countries & Corridors","Settlement cycle","State / shock","Hours / days"
"COR-32","Countries & Corridors","Settlement failure rate","Shock","%"
"COR-33","Countries & Corridors","Cut-off time and holiday-calendar effect","State / shock","Hours / days"
"COR-34","Countries & Corridors","Cross-border transaction fee","Shock","Currency / %"
"COR-35","Countries & Corridors","Liquidity requirement by currency and corridor","State / shock","Currency"
"COR-36","Countries & Corridors","Funds trapped by country or corridor","Shock","Currency / %"
"COR-37","Countries & Corridors","Legal enforceability of claims","Shock","Score / recovery %"
"COR-38","Countries & Corridors","Insolvency recovery rate and duration","Behaviour","% / months"
"COR-39","Countries & Corridors","Regulatory divergence between route endpoints","Shock","Index"
"COR-40","Countries & Corridors","AML, KYC and sanctions friction","Shock","Delay / rejection %"
"COR-41","Countries & Corridors","Data-localisation or cross-border-data restriction","Shock","Index / binary"
"COR-42","Countries & Corridors","Tax, withholding and permanent-establishment exposure","Shock","% / currency"
"COR-43","Countries & Corridors","Port, transport or trade-infrastructure disruption","Shock","% / duration"
"COR-44","Countries & Corridors","Telecommunications and power reliability","Shock","%"
"COR-45","Countries & Corridors","Natural-hazard and physical-climate disruption","Shock","Severity / duration"
"COR-46","Countries & Corridors","Water, heat, flood, storm or wildfire exposure","Shock","Hazard index"
"COR-47","Countries & Corridors","Supply-chain dependency through the corridor","State","% / criticality score"
"COR-48","Countries & Corridors","Diplomatic-relations deterioration","Shock","Index"
"COR-49","Countries & Corridors","Country risk premium","Shock","Basis points"
"COR-50","Countries & Corridors","Emergency corridor suspension","Intervention","Binary / duration"
"COR-51","Countries & Corridors","Transaction rerouting allocation","Intervention","% by alternate route"
"COR-52","Countries & Corridors","Local reserve pre-positioning","Intervention","Currency"
