origin_code,origin,destination_code,destination,origin_currency,destination_currency,priority,risk_dimensions
GB,United Kingdom,BR,Brazil,GBP,BRL,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
GB,United Kingdom,ZA,South Africa,GBP,ZAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
SG,Singapore,IN,India,SGD,INR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
SG,Singapore,GB,United Kingdom,SGD,GBP,HIGH,"FX, cut-off, compliance, settlement, liquidity"
SG,Singapore,US,United States,SGD,USD,HIGH,"FX, cut-off, compliance, settlement, liquidity"
SG,Singapore,AE,United Arab Emirates,SGD,AED,HIGH,"FX, cut-off, compliance, settlement, liquidity"
SG,Singapore,SA,Saudi Arabia,SGD,SAR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
SG,Singapore,DE,Germany / Eurozone,SGD,EUR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
SG,Singapore,NL,Netherlands / Eurozone,SGD,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
SG,Singapore,CH,Switzerland,SGD,CHF,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
SG,Singapore,JP,Japan,SGD,JPY,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
SG,Singapore,HK,Hong Kong,SGD,HKD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
SG,Singapore,AU,Australia,SGD,AUD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
SG,Singapore,CA,Canada,SGD,CAD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
SG,Singapore,BR,Brazil,SGD,BRL,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
SG,Singapore,ZA,South Africa,SGD,ZAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
US,United States,IN,India,USD,INR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
US,United States,GB,United Kingdom,USD,GBP,HIGH,"FX, cut-off, compliance, settlement, liquidity"
US,United States,SG,Singapore,USD,SGD,HIGH,"FX, cut-off, compliance, settlement, liquidity"
US,United States,AE,United Arab Emirates,USD,AED,HIGH,"FX, cut-off, compliance, settlement, liquidity"
US,United States,SA,Saudi Arabia,USD,SAR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
US,United States,DE,Germany / Eurozone,USD,EUR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
US,United States,NL,Netherlands / Eurozone,USD,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
US,United States,CH,Switzerland,USD,CHF,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
US,United States,JP,Japan,USD,JPY,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
US,United States,HK,Hong Kong,USD,HKD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
US,United States,AU,Australia,USD,AUD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
US,United States,CA,Canada,USD,CAD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
US,United States,BR,Brazil,USD,BRL,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
US,United States,ZA,South Africa,USD,ZAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AE,United Arab Emirates,IN,India,AED,INR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
AE,United Arab Emirates,GB,United Kingdom,AED,GBP,HIGH,"FX, cut-off, compliance, settlement, liquidity"
AE,United Arab Emirates,SG,Singapore,AED,SGD,HIGH,"FX, cut-off, compliance, settlement, liquidity"
AE,United Arab Emirates,US,United States,AED,USD,HIGH,"FX, cut-off, compliance, settlement, liquidity"
AE,United Arab Emirates,SA,Saudi Arabia,AED,SAR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
AE,United Arab Emirates,DE,Germany / Eurozone,AED,EUR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
AE,United Arab Emirates,NL,Netherlands / Eurozone,AED,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AE,United Arab Emirates,CH,Switzerland,AED,CHF,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AE,United Arab Emirates,JP,Japan,AED,JPY,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AE,United Arab Emirates,HK,Hong Kong,AED,HKD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AE,United Arab Emirates,AU,Australia,AED,AUD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AE,United Arab Emirates,CA,Canada,AED,CAD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AE,United Arab Emirates,BR,Brazil,AED,BRL,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AE,United Arab Emirates,ZA,South Africa,AED,ZAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
SA,Saudi Arabia,IN,India,SAR,INR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
SA,Saudi Arabia,GB,United Kingdom,SAR,GBP,HIGH,"FX, cut-off, compliance, settlement, liquidity"
SA,Saudi Arabia,SG,Singapore,SAR,SGD,HIGH,"FX, cut-off, compliance, settlement, liquidity"
SA,Saudi Arabia,US,United States,SAR,USD,HIGH,"FX, cut-off, compliance, settlement, liquidity"
SA,Saudi Arabia,AE,United Arab Emirates,SAR,AED,HIGH,"FX, cut-off, compliance, settlement, liquidity"
SA,Saudi Arabia,DE,Germany / Eurozone,SAR,EUR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
SA,Saudi Arabia,NL,Netherlands / Eurozone,SAR,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
SA,Saudi Arabia,CH,Switzerland,SAR,CHF,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
SA,Saudi Arabia,JP,Japan,SAR,JPY,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
SA,Saudi Arabia,HK,Hong Kong,SAR,HKD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
SA,Saudi Arabia,AU,Australia,SAR,AUD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
SA,Saudi Arabia,CA,Canada,SAR,CAD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
SA,Saudi Arabia,BR,Brazil,SAR,BRL,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
SA,Saudi Arabia,ZA,South Africa,SAR,ZAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
DE,Germany / Eurozone,IN,India,EUR,INR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
DE,Germany / Eurozone,GB,United Kingdom,EUR,GBP,HIGH,"FX, cut-off, compliance, settlement, liquidity"
DE,Germany / Eurozone,SG,Singapore,EUR,SGD,HIGH,"FX, cut-off, compliance, settlement, liquidity"
DE,Germany / Eurozone,US,United States,EUR,USD,HIGH,"FX, cut-off, compliance, settlement, liquidity"
DE,Germany / Eurozone,AE,United Arab Emirates,EUR,AED,HIGH,"FX, cut-off, compliance, settlement, liquidity"
DE,Germany / Eurozone,SA,Saudi Arabia,EUR,SAR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
DE,Germany / Eurozone,NL,Netherlands / Eurozone,EUR,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
DE,Germany / Eurozone,CH,Switzerland,EUR,CHF,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
DE,Germany / Eurozone,JP,Japan,EUR,JPY,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
DE,Germany / Eurozone,HK,Hong Kong,EUR,HKD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
DE,Germany / Eurozone,AU,Australia,EUR,AUD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
DE,Germany / Eurozone,CA,Canada,EUR,CAD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
DE,Germany / Eurozone,BR,Brazil,EUR,BRL,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
DE,Germany / Eurozone,ZA,South Africa,EUR,ZAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
NL,Netherlands / Eurozone,IN,India,EUR,INR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
NL,Netherlands / Eurozone,GB,United Kingdom,EUR,GBP,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
NL,Netherlands / Eurozone,SG,Singapore,EUR,SGD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
NL,Netherlands / Eurozone,US,United States,EUR,USD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
NL,Netherlands / Eurozone,AE,United Arab Emirates,EUR,AED,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
NL,Netherlands / Eurozone,SA,Saudi Arabia,EUR,SAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
NL,Netherlands / Eurozone,DE,Germany / Eurozone,EUR,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
NL,Netherlands / Eurozone,CH,Switzerland,EUR,CHF,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
NL,Netherlands / Eurozone,JP,Japan,EUR,JPY,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
NL,Netherlands / Eurozone,HK,Hong Kong,EUR,HKD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
NL,Netherlands / Eurozone,AU,Australia,EUR,AUD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
NL,Netherlands / Eurozone,CA,Canada,EUR,CAD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
NL,Netherlands / Eurozone,BR,Brazil,EUR,BRL,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
NL,Netherlands / Eurozone,ZA,South Africa,EUR,ZAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CH,Switzerland,IN,India,CHF,INR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
CH,Switzerland,GB,United Kingdom,CHF,GBP,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CH,Switzerland,SG,Singapore,CHF,SGD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CH,Switzerland,US,United States,CHF,USD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CH,Switzerland,AE,United Arab Emirates,CHF,AED,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CH,Switzerland,SA,Saudi Arabia,CHF,SAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CH,Switzerland,DE,Germany / Eurozone,CHF,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CH,Switzerland,NL,Netherlands / Eurozone,CHF,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CH,Switzerland,JP,Japan,CHF,JPY,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CH,Switzerland,HK,Hong Kong,CHF,HKD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CH,Switzerland,AU,Australia,CHF,AUD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CH,Switzerland,CA,Canada,CHF,CAD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CH,Switzerland,BR,Brazil,CHF,BRL,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CH,Switzerland,ZA,South Africa,CHF,ZAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
JP,Japan,IN,India,JPY,INR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
JP,Japan,GB,United Kingdom,JPY,GBP,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
JP,Japan,SG,Singapore,JPY,SGD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
JP,Japan,US,United States,JPY,USD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
JP,Japan,AE,United Arab Emirates,JPY,AED,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
JP,Japan,SA,Saudi Arabia,JPY,SAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
JP,Japan,DE,Germany / Eurozone,JPY,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
JP,Japan,NL,Netherlands / Eurozone,JPY,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
JP,Japan,CH,Switzerland,JPY,CHF,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
JP,Japan,HK,Hong Kong,JPY,HKD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
JP,Japan,AU,Australia,JPY,AUD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
JP,Japan,CA,Canada,JPY,CAD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
JP,Japan,BR,Brazil,JPY,BRL,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
JP,Japan,ZA,South Africa,JPY,ZAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
HK,Hong Kong,IN,India,HKD,INR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
HK,Hong Kong,GB,United Kingdom,HKD,GBP,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
HK,Hong Kong,SG,Singapore,HKD,SGD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
HK,Hong Kong,US,United States,HKD,USD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
HK,Hong Kong,AE,United Arab Emirates,HKD,AED,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
HK,Hong Kong,SA,Saudi Arabia,HKD,SAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
HK,Hong Kong,DE,Germany / Eurozone,HKD,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
HK,Hong Kong,NL,Netherlands / Eurozone,HKD,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
HK,Hong Kong,CH,Switzerland,HKD,CHF,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
HK,Hong Kong,JP,Japan,HKD,JPY,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
HK,Hong Kong,AU,Australia,HKD,AUD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
HK,Hong Kong,CA,Canada,HKD,CAD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
HK,Hong Kong,BR,Brazil,HKD,BRL,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
HK,Hong Kong,ZA,South Africa,HKD,ZAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AU,Australia,IN,India,AUD,INR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
AU,Australia,GB,United Kingdom,AUD,GBP,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AU,Australia,SG,Singapore,AUD,SGD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AU,Australia,US,United States,AUD,USD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AU,Australia,AE,United Arab Emirates,AUD,AED,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AU,Australia,SA,Saudi Arabia,AUD,SAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AU,Australia,DE,Germany / Eurozone,AUD,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AU,Australia,NL,Netherlands / Eurozone,AUD,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AU,Australia,CH,Switzerland,AUD,CHF,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AU,Australia,JP,Japan,AUD,JPY,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AU,Australia,HK,Hong Kong,AUD,HKD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AU,Australia,CA,Canada,AUD,CAD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AU,Australia,BR,Brazil,AUD,BRL,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
AU,Australia,ZA,South Africa,AUD,ZAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CA,Canada,IN,India,CAD,INR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
CA,Canada,GB,United Kingdom,CAD,GBP,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CA,Canada,SG,Singapore,CAD,SGD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CA,Canada,US,United States,CAD,USD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CA,Canada,AE,United Arab Emirates,CAD,AED,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CA,Canada,SA,Saudi Arabia,CAD,SAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CA,Canada,DE,Germany / Eurozone,CAD,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CA,Canada,NL,Netherlands / Eurozone,CAD,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CA,Canada,CH,Switzerland,CAD,CHF,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CA,Canada,JP,Japan,CAD,JPY,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CA,Canada,HK,Hong Kong,CAD,HKD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CA,Canada,AU,Australia,CAD,AUD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CA,Canada,BR,Brazil,CAD,BRL,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
CA,Canada,ZA,South Africa,CAD,ZAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
BR,Brazil,IN,India,BRL,INR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
BR,Brazil,GB,United Kingdom,BRL,GBP,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
BR,Brazil,SG,Singapore,BRL,SGD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
BR,Brazil,US,United States,BRL,USD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
BR,Brazil,AE,United Arab Emirates,BRL,AED,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
BR,Brazil,SA,Saudi Arabia,BRL,SAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
BR,Brazil,DE,Germany / Eurozone,BRL,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
BR,Brazil,NL,Netherlands / Eurozone,BRL,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
BR,Brazil,CH,Switzerland,BRL,CHF,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
BR,Brazil,JP,Japan,BRL,JPY,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
BR,Brazil,HK,Hong Kong,BRL,HKD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
BR,Brazil,AU,Australia,BRL,AUD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
BR,Brazil,CA,Canada,BRL,CAD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
BR,Brazil,ZA,South Africa,BRL,ZAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
ZA,South Africa,IN,India,ZAR,INR,HIGH,"FX, cut-off, compliance, settlement, liquidity"
ZA,South Africa,GB,United Kingdom,ZAR,GBP,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
ZA,South Africa,SG,Singapore,ZAR,SGD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
ZA,South Africa,US,United States,ZAR,USD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
ZA,South Africa,AE,United Arab Emirates,ZAR,AED,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
ZA,South Africa,SA,Saudi Arabia,ZAR,SAR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
ZA,South Africa,DE,Germany / Eurozone,ZAR,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
ZA,South Africa,NL,Netherlands / Eurozone,ZAR,EUR,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
ZA,South Africa,CH,Switzerland,ZAR,CHF,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
ZA,South Africa,JP,Japan,ZAR,JPY,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
ZA,South Africa,HK,Hong Kong,ZAR,HKD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
ZA,South Africa,AU,Australia,ZAR,AUD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
ZA,South Africa,CA,Canada,ZAR,CAD,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
ZA,South Africa,BR,Brazil,ZAR,BRL,MEDIUM,"FX, cut-off, compliance, settlement, liquidity"
